step,lf_wx,lf_wy,lf_wz,rf_wx,rf_wy,rf_wz,foot_sep_y,foot_xy_dist,foot_cross,foot_too_close,cf_lf,cf_rf,cf_max_body,cf_max_val,tau_max,pg_z,t_lhp,dp_lhp,t_lhy,dp_lhy,t_lk,dp_lk,t_lap,dp_lap,t_lar,dp_lar,t_rhp,dp_rhp,t_rhy,dp_rhy,t_rk,dp_rk,t_rap,dp_rap,t_rar,dp_rar
14,-10.054754257202148,-4.802004814147949,0.040591735392808914,-10.05187702178955,-5.275547504425049,0.03663742542266846,-0.4735426902770996,0.4735514223575592,1,0,0.0,287.15301513671875,12,287.15301513671875,36.0,-0.9735363721847534,-36.0,0.2617399990558624,-36.0,0.09909173846244812,36.0,0.23561404645442963,-9.606066703796387,-0.2176165133714676,-4.471782207489014,-0.12459203600883484,27.39798927307129,0.2458912879228592,-36.0,-0.05812084674835205,-36.0,-0.001827283762395382,5.980458736419678,0.025871673598885536,-5.789186000823975,0.20864377915859222
15,-10.063765525817871,-4.807126522064209,0.04050280898809433,-10.047276496887207,-5.273927211761475,0.03747217357158661,-0.4668006896972656,0.467091828584671,1,0,33.89633560180664,175.01821899414062,12,175.01821899414062,36.0,-0.9678290486335754,-36.0,0.30699554085731506,-36.0,0.056788209825754166,36.0,0.262528657913208,-3.4651083946228027,-0.278833270072937,-1.3775900602340698,-0.07979913055896759,35.91940689086914,0.21498282253742218,-36.0,-0.02515634521842003,-36.0,0.0006024741451255977,7.289097785949707,0.06885692477226257,-0.4786534309387207,0.1820610612630844
16,-10.073646545410156,-4.812665939331055,0.042518630623817444,-10.041954040527344,-5.268619537353516,0.038041144609451294,-0.45595359802246094,0.4570537209510803,1,0,0.0,20.109472274780273,12,20.109472274780273,36.0,-0.9616407155990601,-36.0,0.3650866150856018,-36.0,0.022480642423033714,36.0,0.30667030811309814,-1.2901077270507812,-0.3734116852283478,-2.9107980728149414,-0.02579428255558014,36.0,0.15574949979782104,-36.0,0.007924922741949558,-36.0,-2.3615053578396328e-05,3.6147775650024414,0.11905085295438766,5.854701042175293,0.19952909648418427
17,-10.085535049438477,-4.819688320159912,0.04466706141829491,-10.03388786315918,-5.261958122253418,0.03720671683549881,-0.44226980209350586,0.445275217294693,1,0,0.0,57.28767395019531,12,57.28767395019531,36.0,-0.955207884311676,-36.0,0.39971476793289185,-36.0,0.009518817067146301,32.5745735168457,0.3812553882598877,5.0564188957214355,-0.42377179861068726,-10.306921005249023,-0.057308390736579895,36.0,0.08319737762212753,-36.0,0.0611354261636734,-36.0,-0.000286387832602486,-2.15800404548645,0.19212956726551056,14.32036018371582,0.20466609299182892
18,-10.097922325134277,-4.826140403747559,0.04486024007201195,-10.025830268859863,-5.25846529006958,0.03622763976454735,-0.4323248863220215,0.43829450011253357,1,0,0.0,0.0,0,0.0,36.0,-0.9457492828369141,-36.0,0.43818187713623047,-36.0,-0.0059445262886583805,24.745046615600586,0.42559322714805603,7.137414932250977,-0.42384177446365356,-6.386329174041748,-0.08659379929304123,36.0,0.043004464358091354,-36.0,0.09923935681581497,-36.0,-6.275978137182392e-08,-1.754526138305664,0.2464331090450287,9.713258743286133,0.22184476256370544
19,-10.108057975769043,-4.827608108520508,0.04373229667544365,-10.014259338378906,-5.2550530433654785,0.035420726984739304,-0.4274449348449707,0.4376155436038971,1,0,0.0,0.0,0,0.0,36.0,-0.9360981583595276,-36.0,0.46334248781204224,-36.0,-0.04475530609488487,36.0,0.4579135775566101,6.132053375244141,-0.485153466463089,-9.496672630310059,-0.1420476734638214,36.0,0.0027476162649691105,-36.0,0.1356755644083023,-36.0,-1.1228682978980942e-06,0.542384147644043,0.3104339838027954,10.019259452819824,0.23673175275325775
20,-10.114480018615723,-4.829282760620117,0.039852432906627655,-10.002551078796387,-5.253204345703125,0.03478488326072693,-0.4239215850830078,0.43844908475875854,1,0,1.993301272392273,0.0,6,1.993301272392273,36.0,-0.9244964122772217,-36.0,0.4828471541404724,-36.0,-0.09343364089727402,29.215242385864258,0.4558982253074646,9.546472549438477,-0.48722243309020996,-4.7454729080200195,-0.15289874374866486,36.0,-0.030544091016054153,-36.0,0.168064683675766,-36.0,2.366301941947313e-06,-4.101191997528076,0.3499072194099426,9.13092041015625,0.2475888580083847
21,-10.118318557739258,-4.825599193572998,0.03805564343929291,-9.991933822631836,-5.250275135040283,0.03500235080718994,-0.42467594146728516,0.4430832266807556,1,0,50.47622299194336,102.18948364257812,12,102.18948364257812,36.0,-0.9105902910232544,-36.0,0.5077082514762878,-36.0,-0.16743865609169006,24.86274528503418,0.4660733640193939,9.382195472717285,-0.5295885801315308,0.48238611221313477,-0.15096405148506165,36.0,-0.06344223022460938,-36.0,0.20661433041095734,-36.0,-0.000922862789593637,-5.159185409545898,0.39775583148002625,8.370689392089844,0.2572491765022278
22,-10.119073867797852,-4.821435451507568,0.03610142692923546,-9.988127708435059,-5.252535343170166,0.03608124703168869,-0.43109989166259766,0.45054858922958374,1,0,35.47843551635742,0.0,6,35.47843551635742,36.0,-0.8936220407485962,-36.0,0.49310606718063354,-36.0,-0.22094006836414337,31.605274200439453,0.5125987529754639,1.1129646301269531,-0.576377809047699,20.644067764282227,-0.13904719054698944,36.0,-0.06627078354358673,-36.0,0.2074204534292221,-36.0,-0.0010590434540063143,-4.225133419036865,0.427916020154953,5.865726470947266,0.21922512352466583
23,-10.119424819946289,-4.821147441864014,0.031988173723220825,-9.986393928527832,-5.255077362060547,0.03722196817398071,-0.4339299201965332,0.45386382937431335,1,0,161.06509399414062,37.64897155761719,6,161.06509399414062,36.0,-0.8712862133979797,-36.0,0.48347043991088867,-36.0,-0.19736012816429138,17.685489654541016,0.545488178730011,2.9379281997680664,-0.5675960779190063,22.0,-0.25714024901390076,36.0,-0.04573920741677284,-36.0,0.2453049123287201,-36.0,-0.001152581418864429,-5.245888710021973,0.42692458629608154,7.851566791534424,0.25119051337242126
24,-10.121936798095703,-4.815033435821533,0.03153211623430252,-9.972037315368652,-5.254323959350586,0.044705167412757874,-0.43929052352905273,0.46416163444519043,1,0,89.23286437988281,0.0,6,89.23286437988281,36.0,-0.8355184197425842,-36.0,0.5275422930717468,-30.98631477355957,-0.251337468624115,17.519359588623047,0.5304399132728577,7.3189191818237305,-0.5546182990074158,8.488862037658691,-0.2981579303741455,36.0,-0.033034030348062515,-36.0,0.2758919298648834,-36.0,-0.0006084094056859612,-0.5559310913085938,0.4250398278236389,11.054519653320312,0.25948816537857056
25,-10.118779182434082,-4.8089470863342285,0.03203751519322395,-9.95598030090332,-5.251129150390625,0.054031915962696075,-0.4421820640563965,0.4711989462375641,1,0,99.87625122070312,0.0,6,99.87625122070312,36.0,-0.7948890924453735,-36.0,0.5381771922111511,-32.79932403564453,-0.3110833764076233,7.2196197509765625,0.5175521969795227,5.97223424911499,-0.5106801986694336,11.91419506072998,-0.33282673358917236,36.0,-0.031339406967163086,-36.0,0.316508948802948,-36.0,-1.724153662507888e-06,4.111081123352051,0.3858701288700104,9.953863143920898,0.24843057990074158
26,-10.11292839050293,-4.800381183624268,0.035370834171772,-9.942608833312988,-5.248800277709961,0.06527232378721237,-0.44841909408569336,0.4796753227710724,1,0,0.0,0.0,0,0.0,36.0,-0.7514020800590515,-36.0,0.5207412838935852,-36.0,-0.3766220808029175,26.037593841552734,0.5304690003395081,1.1108980178833008,-0.4845336675643921,9.33891773223877,-0.28188490867614746,36.0,-0.04429718106985092,-36.0,0.34307289123535156,-36.0,-1.1785485867221723e-06,8.455041885375977,0.3498585820198059,12.806872367858887,0.22566093504428864
27,-10.106025695800781,-4.791050434112549,0.0383000485599041,-9.93144416809082,-5.245397567749023,0.07787949591875076,-0.4543471336364746,0.4867340326309204,1,0,0.0,0.0,0,0.0,36.0,-0.7049601674079895,-36.0,0.4984618127346039,-36.0,-0.41860055923461914,26.62582015991211,0.5396955013275146,-3.9748764038085938,-0.4446578919887543,12.140420913696289,-0.26618391275405884,36.0,-0.061825577169656754,-36.0,0.3727392852306366,-36.0,5.674910994457605e-07,8.470466613769531,0.3140060603618622,13.348589897155762,0.2043640911579132
28,-10.101215362548828,-4.785516738891602,0.038766779005527496,-9.923928260803223,-5.24154806137085,0.0893472209572792,-0.45603132247924805,0.4892803728580475,1,0,10.02045726776123,0.0,6,10.02045726776123,36.0,-0.6529691219329834,-36.0,0.458512544631958,-36.0,-0.42755386233329773,12.106895446777344,0.5710437297821045,-3.2154574394226074,-0.3663652241230011,18.014022827148438,-0.29036790132522583,36.0,-0.0683414414525032,-36.0,0.4046340584754944,-36.0,3.3696478567435406e-06,6.608508586883545,0.2785593867301941,13.800954818725586,0.1839948296546936
29,-10.096691131591797,-4.77389669418335,0.04335126280784607,-9.915791511535645,-5.235428333282471,0.10330064594745636,-0.4615316390991211,0.4957177937030792,1,0,0.0,0.0,0,0.0,36.0,-0.5849462747573853,-36.0,0.00048669162788428366,-36.0,0.0001666228345129639,35.98573684692383,-1.505343425378669e-05,-12.391984939575195,4.190738400211558e-05,12.59968090057373,2.6460053049959242e-05,36.0,0.000492223771288991,-36.0,-0.000170049155713059,-36.0,-5.118963963468559e-05,6.10080099105835,0.00014526992163155228,14.416431427001953,1.5907884517218918e-05
