step,lf_wx,lf_wy,lf_wz,rf_wx,rf_wy,rf_wz,foot_sep_y,foot_xy_dist,foot_cross,foot_too_close,cf_lf,cf_rf,cf_max_body,cf_max_val,tau_max,pg_z,t_lhp,dp_lhp,t_lhy,dp_lhy,t_lk,dp_lk,t_lap,dp_lap,t_lar,dp_lar,t_rhp,dp_rhp,t_rhy,dp_rhy,t_rk,dp_rk,t_rap,dp_rap,t_rar,dp_rar
10,-10.069906234741211,-4.880460262298584,0.043885212391614914,-10.014764785766602,-5.2422895431518555,0.06376153230667114,-0.3618292808532715,0.36600685119628906,1,0,148.5340576171875,25.012510299682617,6,148.5340576171875,36.0,-0.9864035248756409,-36.0,0.14678464829921722,-36.0,-0.059742704033851624,36.0,0.17587631940841675,-15.949945449829102,-0.03719396889209747,18.072025299072266,-0.028761832043528557,34.581729888916016,0.2183694690465927,-36.0,0.08312343806028366,-36.0,0.024012066423892975,12.345458984375,0.24304892122745514,16.71639633178711,0.010496094822883606
11,-10.067888259887695,-4.879051685333252,0.03142549842596054,-10.018821716308594,-5.255292892456055,0.05576114356517792,-0.37624120712280273,0.37942713499069214,1,0,316.8033752441406,181.3374786376953,6,316.8033752441406,36.0,-0.9891465306282043,-36.0,0.07549840211868286,-36.0,-0.057327836751937866,36.0,0.1576140820980072,-7.116038799285889,-0.08293643593788147,18.190053939819336,-0.1605079174041748,33.555110931396484,0.24745921790599823,-36.0,0.05772233381867409,-36.0,0.03621898218989372,13.711254119873047,0.08668356388807297,-3.5978734493255615,0.0897599458694458
12,-10.065281867980957,-4.8819966316223145,0.030213020741939545,-10.022771835327148,-5.257537841796875,0.04858110845088959,-0.37554121017456055,0.3779395520687103,1,0,137.23414611816406,0.0,6,137.23414611816406,36.0,-0.990113377571106,-9.379484176635742,0.1027190089225769,-29.992706298828125,-0.05236878618597984,-14.315590858459473,0.01786409504711628,-3.316887855529785,0.015412661246955395,6.049007415771484,-0.17552272975444794,34.00770950317383,0.27124184370040894,-36.0,-0.004577525891363621,-36.0,0.027843736112117767,17.299495697021484,-0.009348594583570957,5.392420291900635,0.09093397110700607
13,-10.060701370239258,-4.878583908081055,0.032150231301784515,-10.015864372253418,-5.250844955444336,0.04190739616751671,-0.37226104736328125,0.3749515116214752,1,0,82.83712768554688,0.0,6,82.83712768554688,36.0,-0.9899868965148926,-11.101158142089844,0.034336600452661514,-36.0,-0.15571318566799164,-4.9530863761901855,0.05516667664051056,1.577687382698059,0.02523905411362648,6.103618621826172,-0.14771787822246552,36.0,0.25306856632232666,-36.0,-0.0804593414068222,-36.0,0.01802864298224449,17.911951065063477,-0.023479096591472626,8.162252426147461,0.14521388709545135
14,-10.055468559265137,-4.877172946929932,0.03300756961107254,-10.0128173828125,-5.242181301116943,0.036961790174245834,-0.3650083541870117,0.36749181151390076,1,0,135.6602783203125,74.167236328125,6,135.6602783203125,36.0,-0.9874085187911987,-8.996438980102539,0.03743122145533562,-33.117767333984375,-0.18214793503284454,-11.492623329162598,0.02776733785867691,1.0828691720962524,0.0608510747551918,9.383861541748047,-0.14552052319049835,36.0,0.24639521539211273,-36.0,-0.16652627289295197,-36.0,0.0291416198015213,9.82053279876709,-0.05210293084383011,-8.898947715759277,0.09494175761938095
15,-10.052218437194824,-4.878612995147705,0.033877402544021606,-10.015349388122559,-5.241913318634033,0.036032114177942276,-0.3633003234863281,0.3651663362979889,1,0,110.0794677734375,92.43607330322266,6,110.0794677734375,36.0,-0.9832987189292908,-14.94474983215332,-0.008579324930906296,-36.0,-0.2185327112674713,1.4192399978637695,0.08036456257104874,-1.5065507888793945,0.06861458718776703,10.4638671875,-0.13032136857509613,33.86695098876953,0.2718714773654938,-36.0,-0.18371757864952087,-36.0,0.07789966464042664,17.318010330200195,-0.09971677511930466,-8.344605445861816,0.09895889461040497
16,-10.044114112854004,-4.881697654724121,0.036477163434028625,-10.022607803344727,-5.243496894836426,0.034611839801073074,-0.3617992401123047,0.3624378442764282,1,0,49.58906936645508,157.5801544189453,12,157.5801544189453,36.0,-0.9771325588226318,-21.07579803466797,-0.0432056300342083,-36.0,-0.24343861639499664,3.7259573936462402,0.11005643755197525,-0.11929178237915039,0.08285295218229294,19.523876190185547,-0.09664026647806168,20.613143920898438,0.3063742518424988,-36.0,-0.1627979576587677,-36.0,0.15839579701423645,21.480222702026367,-0.19276443123817444,-5.775487899780273,0.11806650459766388
17,-10.034767150878906,-4.881541728973389,0.038537316024303436,-10.029423713684082,-5.244838237762451,0.03330341726541519,-0.3632965087890625,0.3633357882499695,1,0,56.16750717163086,30.331552505493164,6,56.16750717163086,36.0,-0.9690127372741699,-36.0,-0.07901284843683243,-36.0,-0.2433282732963562,36.0,0.13710954785346985,-14.740087509155273,0.1281691938638687,14.109590530395508,-0.04241463169455528,23.387800216674805,0.35544225573539734,-36.0,-0.17471924424171448,-36.0,0.20382048189640045,20.868221282958984,-0.23266704380512238,2.8763880729675293,0.1718689501285553
18,-10.01759147644043,-4.886385917663574,0.03943149372935295,-10.031560897827148,-5.240346431732178,0.031020373106002808,-0.3539605140686035,0.35423606634140015,1,0,71.1600570678711,95.5623779296875,12,95.5623779296875,36.0,-0.9655716419219971,-33.73777770996094,-0.1599556803703308,-36.0,-0.2287004142999649,36.0,0.1460660994052887,-22.0,0.19530215859413147,20.084426879882812,-0.04522748664021492,7.694509506225586,0.3287457525730133,-36.0,-0.20280137658119202,-36.0,0.256596177816391,16.924373626708984,-0.2736198604106903,-1.032935380935669,0.16202251613140106
19,-9.996828079223633,-4.898690700531006,0.04107353091239929,-10.03370189666748,-5.242177486419678,0.03010590374469757,-0.3434867858886719,0.34546035528182983,1,0,68.47871398925781,259.5791015625,12,259.5791015625,36.0,-0.9660583138465881,-30.577421188354492,-0.25299161672592163,-36.0,-0.22567793726921082,36.0,0.13708806037902832,-22.0,0.2345917969942093,19.73527717590332,-0.04926959425210953,9.039443969726562,0.2872542142868042,-36.0,-0.18515948951244354,-36.0,0.3244878649711609,17.85546112060547,-0.31738001108169556,-0.14178824424743652,0.17006929218769073
20,-9.977073669433594,-4.915735244750977,0.04448135569691658,-10.034013748168945,-5.246039867401123,0.030489357188344002,-0.3303046226501465,0.335176557302475,1,0,37.62812805175781,93.06172180175781,12,93.06172180175781,36.0,-0.9619331359863281,7.113645553588867,-0.2399436980485916,-36.0,-0.21908380091190338,-1.1307870149612427,0.047652412205934525,2.53302001953125,0.27657899260520935,15.714427947998047,0.0054498761892318726,21.226104736328125,0.30591875314712524,-36.0,-0.18522989749908447,-36.0,0.3392438590526581,22.0,-0.3374606966972351,-1.5200657844543457,0.15306511521339417
21,-9.974204063415527,-4.9270920753479,0.043604183942079544,-10.036142349243164,-5.247426986694336,0.03219202160835266,-0.32033491134643555,0.3262679874897003,1,0,64.4350814819336,73.0599365234375,12,73.0599365234375,36.0,-0.9472527503967285,3.597109794616699,-0.16793371737003326,-23.349327087402344,-0.28840646147727966,-8.110102653503418,0.04976816475391388,-9.343563079833984,0.24118207395076752,0.9654898047447205,-0.07818812876939774,19.277421951293945,0.35473155975341797,-36.0,-0.19346266984939575,-36.0,0.38468068838119507,22.0,-0.35236623883247375,11.328815460205078,0.15443460643291473
22,-9.973932266235352,-4.929561138153076,0.043666623532772064,-10.037190437316895,-5.24363374710083,0.032781243324279785,-0.3140726089477539,0.32037976384162903,1,0,36.400882720947266,90.05130767822266,12,90.05130767822266,36.0,-0.9274649620056152,-4.392605781555176,-0.12143537402153015,-23.188600540161133,-0.2870352268218994,-5.399286270141602,0.08444327861070633,-9.485097885131836,0.22637495398521423,-3.8836405277252197,-0.06355515867471695,2.218343734741211,0.3973849415779114,-36.0,-0.174875408411026,-36.0,0.41655153036117554,21.823287963867188,-0.36566856503486633,13.0072603225708,0.12484776973724365
