frame,ball_x,ball_y,ball_z,re_x,re_y,re_z,le_x,le_y,le_z,re_to_ball,le_to_ball,ee_raw
0,-8.765835762023926,-5.333543300628662,0.3475475013256073,-9.998699188232422,-5.122501373291016,0.572467565536499,-9.998697280883789,-4.877419948577881,0.5722141265869141,1.2708579301834106,1.3335932493209839,0.6205032467842102
1,-8.76622486114502,-5.333947658538818,0.34068840742111206,-9.99963665008545,-5.122536659240723,0.5724644660949707,-9.999622344970703,-4.8774213790893555,0.5720098614692688,1.2726819515228271,1.3353632688522339,0.6203774809837341
2,-8.766671180725098,-5.334203243255615,0.32969018816947937,-10.00046157836914,-5.122620105743408,0.5725222229957581,-10.0004301071167,-4.877455234527588,0.5718494653701782,1.2751365900039673,1.337692379951477,0.6202266216278076
3,-8.766911506652832,-5.334079265594482,0.31434664130210876,-10.001072883605957,-5.122735023498535,0.5725979804992676,-10.001036643981934,-4.87751579284668,0.5717086791992188,1.278481364250183,1.3408020734786987,0.6201525926589966
4,-8.767525672912598,-5.334350109100342,0.29467618465423584,-10.00144100189209,-5.122857093811035,0.5726770162582397,-10.001411437988281,-4.877594947814941,0.5715958476066589,1.2824043035507202,1.3445385694503784,0.6201580762863159
5,-8.767804145812988,-5.334399700164795,0.2708398401737213,-10.001626968383789,-5.1229753494262695,0.5727464556694031,-10.001605033874512,-4.877691268920898,0.5715144276618958,1.2876981496810913,1.3495378494262695,0.6202075481414795
6,-8.767632484436035,-5.334184169769287,0.24261517822742462,-10.001701354980469,-5.123084545135498,0.5727967619895935,-10.001684188842773,-4.877798080444336,0.5714661478996277,1.2948007583618164,1.3562134504318237,0.6202577948570251
7,-8.767415046691895,-5.333583354949951,0.21029110252857208,-10.001733779907227,-5.123172760009766,0.5728235840797424,-10.001714706420898,-4.877896785736084,0.57144695520401,1.3035509586334229,1.3643970489501953,0.6202774047851562
8,-8.767281532287598,-5.3325419425964355,0.1744631677865982,-10.001773834228516,-5.123255252838135,0.5728307366371155,-10.001749992370605,-4.877995491027832,0.5714489221572876,1.3139516115188599,1.3740897178649902,0.6202503442764282
9,-8.76684284210205,-5.331298351287842,0.13446319103240967,-10.001852035522461,-5.123332500457764,0.5728164911270142,-10.001821517944336,-4.878088474273682,0.5714691877365112,1.3268952369689941,1.3861982822418213,0.6201635003089905
10,-8.766551971435547,-5.33062744140625,0.10000116378068924,-10.001980781555176,-5.123405933380127,0.5727843642234802,-10.001944541931152,-4.878172874450684,0.571505069732666,1.3389357328414917,1.3975785970687866,0.620013415813446
11,-8.76650333404541,-5.330567359924316,0.10000116378068924,-10.00214958190918,-5.123475551605225,0.5727396607398987,-10.002110481262207,-4.87824821472168,0.5715498328208923,1.3391004800796509,1.3977395296096802,0.6198186874389648
12,-8.766450881958008,-5.330499172210693,0.10000116378068924,-10.002363204956055,-5.123541831970215,0.5726903676986694,-10.0023193359375,-4.878315448760986,0.5715962052345276,1.3393079042434692,1.397942304611206,0.6195945739746094
13,-8.76639175415039,-5.330471038818359,0.10000116378068924,-10.002601623535156,-5.123607635498047,0.5726412534713745,-10.002559661865234,-4.878378868103027,0.5716400146484375,1.3395506143569946,1.398192286491394,0.6193556785583496
14,-8.766336441040039,-5.330440521240234,0.10000116378068924,-10.00285816192627,-5.1236724853515625,0.5725966691970825,-10.002824783325195,-4.878441333770752,0.5716786980628967,1.3398079872131348,1.3984586000442505,0.6191117763519287
15,-8.766301155090332,-5.33044958114624,0.10000116378068924,-10.003129959106445,-5.1237382888793945,0.5725584030151367,-10.0031099319458,-4.87850284576416,0.5717107653617859,1.3400691747665405,1.398735761642456,0.618868350982666
16,-8.766263961791992,-5.330438137054443,0.10000116378068924,-10.00341796875,-5.123803615570068,0.5725252628326416,-10.003411293029785,-4.878566265106201,0.5717359185218811,1.3403457403182983,1.399019479751587,0.6186278462409973
