frame,ball_x,ball_y,ball_z,re_x,re_y,re_z,le_x,le_y,le_z,re_to_ball,le_to_ball,ee_raw
0,-8.765732765197754,-5.333322048187256,0.34723028540611267,-9.998699188232422,-5.122501373291016,0.572467565536499,-9.998697280883789,-4.877419948577881,0.5722141265869141,1.2709773778915405,1.3336663246154785,1.0033994913101196
1,-8.765713691711426,-5.333102703094482,0.3408796191215515,-9.99963665008545,-5.122536659240723,0.5724644660949707,-9.999622344970703,-4.8774213790893555,0.5720098614692688,1.2730025053024292,1.3355138301849365,1.002593755722046
2,-8.765885353088379,-5.332452297210693,0.33016476035118103,-10.00046157836914,-5.122620105743408,0.5725222229957581,-10.0004301071167,-4.877455234527588,0.5718494653701782,1.2755177021026611,1.3377348184585571,1.001808762550354
3,-8.765908241271973,-5.33174467086792,0.3153931796550751,-10.001072883605957,-5.122735023498535,0.5725979804992676,-10.001036643981934,-4.87751579284668,0.5717086791992188,1.2788554430007935,1.340732455253601,1.0012028217315674
4,-8.766026496887207,-5.331405162811279,0.29720303416252136,-10.00144100189209,-5.122857093811035,0.5726770162582397,-10.001411437988281,-4.877594947814941,0.5715958476066589,1.2828199863433838,1.3443999290466309,1.0008149147033691
5,-8.7665376663208,-5.330602169036865,0.27544090151786804,-10.002254486083984,-5.12127161026001,0.5727903842926025,-10.001625061035156,-4.877750396728516,0.5714319944381714,1.2881118059158325,1.348379135131836,1.0006153583526611
6,-8.766648292541504,-5.330167293548584,0.24991284310817719,-10.004050254821777,-5.118680477142334,0.5728874206542969,-10.001729011535645,-4.878020763397217,0.5713017582893372,1.2962263822555542,1.3539392948150635,1.000345230102539
7,-8.767060279846191,-5.330085277557373,0.22037076950073242,-10.006195068359375,-5.1159491539001465,0.5729917287826538,-10.001749992370605,-4.878310203552246,0.5712509751319885,1.3060057163238525,1.3607631921768188,1.000020146369934
8,-8.767254829406738,-5.329745769500732,0.18720228970050812,-10.008323669433594,-5.1134796142578125,0.5731015205383301,-10.001718521118164,-4.87855339050293,0.5712743997573853,1.3175512552261353,1.369301438331604,0.9996973872184753
9,-8.767762184143066,-5.3290324211120605,0.15015007555484772,-10.010271072387695,-5.111365795135498,0.5732075572013855,-10.001651763916016,-4.878713130950928,0.5713486075401306,1.3304829597473145,1.3793764114379883,0.9994439482688904
10,-8.767895698547363,-5.328643321990967,0.10958807915449142,-10.011962890625,-5.111128330230713,0.573146641254425,-10.001591682434082,-4.878756523132324,0.5714650750160217,1.3453261852264404,1.3920252323150635,0.999264657497406
11,-8.767915725708008,-5.328582763671875,0.10000116378068924,-10.013476371765137,-5.111032485961914,0.5730943083763123,-10.001579284667969,-4.878676414489746,0.5715615153312683,1.3500245809555054,1.3952457904815674,0.9992228150367737
12,-8.76793384552002,-5.328516483306885,0.10000116378068924,-10.014915466308594,-5.110937118530273,0.573076605796814,-10.001605033874512,-4.87853479385376,0.5716228485107422,1.3513342142105103,1.3952975273132324,0.9992731213569641
13,-8.768139839172363,-5.328466892242432,0.10000116378068924,-10.01630973815918,-5.110848426818848,0.5730997323989868,-10.001688003540039,-4.878391265869141,0.571643590927124,1.3524452447891235,1.395226001739502,0.9993208646774292
14,-8.768345832824707,-5.328402042388916,0.10000116378068924,-10.017688751220703,-5.110769271850586,0.5731598138809204,-10.001846313476562,-4.878273963928223,0.5716299414634705,1.3535511493682861,1.3951961994171143,0.9992954134941101
15,-8.768582344055176,-5.328339099884033,0.10000116378068924,-10.019063949584961,-5.110698223114014,0.5732505917549133,-10.00207805633545,-4.878182888031006,0.5715891122817993,1.3546353578567505,1.395187258720398,0.9991863965988159
16,-8.768818855285645,-5.328260898590088,0.10000116378068924,-10.020455360412598,-5.110633850097656,0.5733641982078552,-10.002376556396484,-4.878111362457275,0.5715301632881165,1.355738878250122,1.3952200412750244,0.9989953637123108
17,-8.769043922424316,-5.328196048736572,0.10000116378068924,-10.021875381469727,-5.110578536987305,0.5734914541244507,-10.002728462219238,-4.878057956695557,0.5714635848999023,1.3568850755691528,1.3953059911727905,0.9987226724624634
18,-8.769253730773926,-5.328104496002197,0.10000116378068924,-10.023336410522461,-5.11052942276001,0.5736273527145386,-10.003124237060547,-4.8780107498168945,0.5713930130004883,1.3580809831619263,1.3954322338104248,0.9983888864517212
19,-8.769451141357422,-5.327986240386963,0.10000116378068924,-10.0248384475708,-5.110483646392822,0.573765754699707,-10.00354290008545,-4.8779683113098145,0.5713289380073547,1.359322428703308,1.395581841468811,0.9980052709579468
20,-8.769652366638184,-5.327841281890869,0.10000116378068924,-10.026384353637695,-5.110438346862793,0.5739009380340576,-10.003976821899414,-4.877930164337158,0.5712739825248718,1.3605955839157104,1.3957345485687256,0.9975763559341431
21,-8.769858360290527,-5.327680587768555,0.10000116378068924,-10.027972221374512,-5.1103901863098145,0.5740332007408142,-10.004419326782227,-4.877891540527344,0.5712302327156067,1.3619000911712646,1.3958896398544312,0.9971139430999756
22,-8.7700834274292,-5.327493667602539,0.10000116378068924,-10.029609680175781,-5.110339164733887,0.5741593837738037,-10.004877090454102,-4.8778533935546875,0.5711988806724548,1.3632272481918335,1.3960368633270264,0.9966050982475281
23,-8.770296096801758,-5.327268600463867,0.10000116378068924,-10.03128719329834,-5.110285758972168,0.5742818713188171,-10.00534725189209,-4.877816677093506,0.5711794495582581,1.3645960092544556,1.3961974382400513,0.9960535168647766
24,-8.770484924316406,-5.327057361602783,0.10000116378068924,-10.033005714416504,-5.110223770141602,0.5743987560272217,-10.005843162536621,-4.877776145935059,0.5711721777915955,1.3660266399383545,1.3964117765426636,0.9954479336738586
25,-8.770697593688965,-5.326847553253174,0.10000116378068924,-10.034767150878906,-5.1101603507995605,0.574513852596283,-10.00637149810791,-4.8777337074279785,0.571172297000885,1.367474913597107,1.396637201309204,0.9947835206985474
26,-8.770898818969727,-5.326644420623779,0.10000116378068924,-10.036569595336914,-5.110095024108887,0.5746294260025024,-10.006936073303223,-4.877687931060791,0.5711739659309387,1.3689733743667603,1.3969086408615112,0.9940650463104248
27,-8.771089553833008,-5.326444149017334,0.10000116378068924,-10.038409233093262,-5.110032558441162,0.5747474431991577,-10.00754451751709,-4.877645492553711,0.5711746215820312,1.3705171346664429,1.3972277641296387,0.9932771921157837
28,-8.771303176879883,-5.326283931732178,0.10000116378068924,-10.040282249450684,-5.1099724769592285,0.5748681426048279,-10.008197784423828,-4.877605438232422,0.5711746215820312,1.3720777034759521,1.3975783586502075,0.9924188256263733
