frame,ball_x,ball_y,ball_z,re_x,re_y,re_z,le_x,le_y,le_z,re_to_ball,le_to_ball,ee_raw
0,-8.766228675842285,-5.333089351654053,0.3474709689617157,-9.998699188232422,-5.122501373291016,0.572467565536499,-9.998697280883789,-4.877419948577881,0.5722141265869141,1.2704150676727295,1.333087682723999,0.8617060780525208
1,-8.766877174377441,-5.3321757316589355,0.3409430980682373,-9.99963665008545,-5.122536659240723,0.5724644660949707,-9.999622344970703,-4.8774213790893555,0.5720098614692688,1.2717100381851196,1.3341116905212402,0.861273467540741
2,-8.767277717590332,-5.330983638763428,0.3302554488182068,-10.00046157836914,-5.122620105743408,0.5725222229957581,-10.0004301071167,-4.877455234527588,0.5718494653701782,1.2739115953445435,1.3359342813491821,0.8608691096305847
3,-8.76720905303955,-5.3297038078308105,0.3161366581916809,-10.001072883605957,-5.122735023498535,0.5725979804992676,-10.001036643981934,-4.87751579284668,0.5717086791992188,1.2771172523498535,1.3387014865875244,0.8606259226799011
4,-8.76744556427002,-5.328607082366943,0.29855677485466003,-10.00144100189209,-5.122857093811035,0.5726770162582397,-10.001411437988281,-4.877594947814941,0.5715958476066589,1.2807105779647827,1.3418771028518677,0.8605538010597229
5,-8.767582893371582,-5.327174663543701,0.2765941619873047,-10.001472473144531,-5.123025417327881,0.572859525680542,-10.000983238220215,-4.877406120300293,0.5714524984359741,1.2852756977081299,1.3455517292022705,0.8611726760864258
6,-8.767861366271973,-5.325520992279053,0.25097718834877014,-10.001273155212402,-5.123170375823975,0.5730270147323608,-9.998383522033691,-4.877633571624756,0.5715092420578003,1.290723204612732,1.348157525062561,0.8636685609817505
7,-8.768433570861816,-5.323455333709717,0.2211095094680786,-10.001139640808105,-5.123173236846924,0.5731313228607178,-9.994852066040039,-4.877941131591797,0.5717963576316833,1.2975348234176636,1.35113525390625,0.8665075898170471
8,-8.76851749420166,-5.320901393890381,0.18768882751464844,-10.001245498657227,-5.123103141784668,0.573157012462616,-9.991194725036621,-4.878217697143555,0.5722675919532776,1.3066476583480835,1.3560270071029663,0.8689212203025818
9,-8.76904010772705,-5.3185038566589355,0.1500263512134552,-10.001619338989258,-5.123043537139893,0.5731107592582703,-9.987837791442871,-4.8784613609313965,0.5728371143341064,1.317746877670288,1.3630385398864746,0.8707150816917419
10,-8.769848823547363,-5.316005229949951,0.10858715325593948,-10.002195358276367,-5.123039245605469,0.5730115175247192,-9.984938621520996,-4.878697872161865,0.573433518409729,1.3310160636901855,1.3725024461746216,0.8719574809074402
11,-8.769515991210938,-5.318430423736572,0.10000116378068924,-10.002876281738281,-5.12309455871582,0.5728820562362671,-9.982508659362793,-4.878934383392334,0.574017345905304,1.3352715969085693,1.374481439590454,0.8727675080299377
12,-8.76949691772461,-5.319079399108887,0.10000116378068924,-10.0035400390625,-5.123190402984619,0.5727452039718628,-9.980454444885254,-4.8791656494140625,0.5745777487754822,1.3359348773956299,1.3730131387710571,0.8732727766036987
13,-8.769497871398926,-5.318912029266357,0.10000116378068924,-10.004112243652344,-5.123302936553955,0.5726166367530823,-9.978675842285156,-4.8793840408325195,0.5751211047172546,1.3363760709762573,1.3715083599090576,0.8735529184341431
14,-8.769497871398926,-5.318767547607422,0.10000116378068924,-10.004539489746094,-5.123416900634766,0.5725074410438538,-9.977058410644531,-4.879585266113281,0.5756584405899048,1.336694359779358,1.3701581954956055,0.8736810088157654
15,-8.764322280883789,-5.309760093688965,0.10000116378068924,-10.0048246383667,-5.123524188995361,0.5724201798439026,-9.975528717041016,-4.879772663116455,0.576202929019928,1.3404139280319214,1.3706488609313965,0.8736905455589294
16,-8.76133918762207,-5.304619789123535,0.10000116378068924,-10.004998207092285,-5.123624324798584,0.5723541975021362,-9.974028587341309,-4.879951000213623,0.5767649412155151,1.342596173286438,1.3704973459243774,0.8736060857772827
17,-8.760519981384277,-5.302897930145264,0.10000116378068924,-10.00509262084961,-5.123711585998535,0.57230544090271,-9.972517013549805,-4.880121231079102,0.5773511528968811,1.3431828022003174,1.3695034980773926,0.873443603515625
18,-8.760149955749512,-5.302035808563232,0.10000116378068924,-10.00516414642334,-5.123789310455322,0.5722692012786865,-9.970982551574707,-4.880287170410156,0.5779649615287781,1.3434542417526245,1.3683701753616333,0.8732048869132996
19,-8.759806632995605,-5.301206111907959,0.10000116378068924,-10.0052490234375,-5.123854637145996,0.5722422003746033,-9.969409942626953,-4.880451202392578,0.5786080956459045,1.343723177909851,1.367201328277588,0.8728956580162048
20,-8.759422302246094,-5.300413131713867,0.10000116378068924,-10.00536823272705,-5.123908996582031,0.5722222924232483,-9.967803001403809,-4.880614757537842,0.5792801380157471,1.3440712690353394,1.3660610914230347,0.872514009475708
21,-8.759060859680176,-5.299584865570068,0.10000116378068924,-10.005535125732422,-5.123950004577637,0.5722056031227112,-9.966154098510742,-4.880776882171631,0.5799815654754639,1.3444414138793945,1.3648645877838135,0.8720608353614807
22,-8.758709907531738,-5.298741817474365,0.10000116378068924,-10.005758285522461,-5.1239776611328125,0.5721909999847412,-9.964483261108398,-4.8809356689453125,0.5807127356529236,1.3448551893234253,1.363647699356079,0.8715202212333679
23,-8.75838565826416,-5.297933101654053,0.10000116378068924,-10.006019592285156,-5.123992919921875,0.5721774697303772,-9.96279239654541,-4.881092071533203,0.5814732909202576,1.3452866077423096,1.362412452697754,0.8708894848823547
24,-8.758057594299316,-5.297126293182373,0.10000116378068924,-10.006318092346191,-5.123999118804932,0.5721670985221863,-9.96109676361084,-4.881247520446777,0.5822615623474121,1.3457592725753784,1.361188292503357,0.8701634407043457
25,-8.7577486038208,-5.296304702758789,0.10000116378068924,-10.006628036499023,-5.123993873596191,0.5721592903137207,-9.95939826965332,-4.881399154663086,0.5830785036087036,1.3462258577346802,1.3599530458450317,0.8693368434906006
26,-8.75747013092041,-5.295514106750488,0.10000116378068924,-10.006945610046387,-5.123976707458496,0.5721534490585327,-9.957715034484863,-4.881542682647705,0.5839221477508545,1.3466780185699463,1.358727216720581,0.8684009909629822
27,-8.757195472717285,-5.294712066650391,0.10000116378068924,-10.007250785827637,-5.123954772949219,0.5721481442451477,-9.956043243408203,-4.881685733795166,0.5847947597503662,1.3471150398254395,1.3575166463851929,0.8673575520515442
28,-8.756951332092285,-5.293893814086914,0.10000116378068924,-10.007549285888672,-5.123924732208252,0.5721442103385925,-9.954395294189453,-4.881820201873779,0.5856956839561462,1.347517728805542,1.3563096523284912,0.8661975860595703
29,-8.75670337677002,-5.293100357055664,0.10000116378068924,-10.007832527160645,-5.123887538909912,0.5721399188041687,-9.952770233154297,-4.881947994232178,0.5866252779960632,1.3479139804840088,1.3551477193832397,0.8649236559867859
30,-8.756443977355957,-5.29234504699707,0.10000116378068924,-10.008103370666504,-5.123844146728516,0.5721357464790344,-9.95117473602295,-4.882067680358887,0.5875836610794067,1.3483155965805054,1.3540478944778442,0.8635317087173462
31,-8.7561616897583,-5.29160213470459,0.10000116378068924,-10.0083646774292,-5.1237969398498535,0.5721324682235718,-9.949601173400879,-4.8821845054626465,0.5885691046714783,1.348732352256775,1.353003740310669,0.8620337247848511
32,-8.755845069885254,-5.290877342224121,0.10000116378068924,-10.008618354797363,-5.123748779296875,0.5721315145492554,-9.94804859161377,-4.882301330566406,0.5895817279815674,1.3491774797439575,1.3520253896713257,0.8604320883750916
33,-8.755547523498535,-5.290128231048584,0.10000116378068924,-10.008866310119629,-5.123703479766846,0.5721317529678345,-9.946515083312988,-4.882421493530273,0.5906213521957397,1.3495970964431763,1.3510502576828003,0.8587318658828735
34,-8.755258560180664,-5.289369106292725,0.10000116378068924,-10.009124755859375,-5.123654842376709,0.5721160769462585,-9.945169448852539,-4.882584571838379,0.5916013717651367,1.3500126600265503,1.350197196006775,0.8570815920829773
35,-8.754945755004883,-5.288600444793701,0.10000116378068924,-10.009418487548828,-5.123604774475098,0.5720781087875366,-9.94428539276123,-4.882745265960693,0.5923378467559814,1.3504747152328491,1.349682331085205,0.8557876348495483
36,-8.754610061645508,-5.2878241539001465,0.10000116378068924,-10.009742736816406,-5.123566150665283,0.572026252746582,-9.943923950195312,-4.882850646972656,0.5927643775939941,1.3509798049926758,1.3495506048202515,0.8549705147743225
