frame,ball_x,ball_y,ball_z,le_x,le_y,le_z,re_x,re_y,re_z,le_to_ball,re_to_ball,ee_raw,ee_scaled
0,-8.765835762023926,-5.333543300628662,0.2997547686100006,-9.9986572265625,-4.877414226531982,0.5734317898750305,-9.99866008758545,-5.12248420715332,0.5736760497093201,1.3426843881607056,1.2804040908813477,0.0,0.0
1,-8.765835762023926,-5.333543300628662,0.2992642819881439,-9.99866008758545,-4.877415180206299,0.5729390382766724,-9.99866008758545,-5.122440338134766,0.5731905102729797,1.3426862955093384,1.2804124355316162,0.0,0.0
2,-8.765835762023926,-5.333543300628662,0.2985285222530365,-9.998661041259766,-4.877417087554932,0.5721997618675232,-9.99868106842041,-5.122330188751221,0.572464108467102,1.3426858186721802,1.2804527282714844,0.0,0.0
3,-8.765835762023926,-5.333543300628662,0.29754751920700073,-9.998701095581055,-4.8774261474609375,0.5721950531005859,-9.998774528503418,-5.122154235839844,0.5724781155586243,1.342918872833252,1.2807849645614624,0.0,0.0
4,-8.765835762023926,-5.333543300628662,0.2963212728500366,-9.99898624420166,-4.87742805480957,0.572163999080658,-9.999156951904297,-5.1218743324279785,0.5724964737892151,1.343424916267395,1.2814669609069824,0.0,0.0
5,-8.765835762023926,-5.333543300628662,0.29484978318214417,-9.999195098876953,-4.87744665145874,0.5720176696777344,-9.999537467956543,-5.121499061584473,0.5724483132362366,1.3438829183578491,1.2822026014328003,0.0,0.0
6,-8.765835762023926,-5.333543300628662,0.293133020401001,-9.999422073364258,-4.8774733543396,0.571986198425293,-9.999995231628418,-5.121029853820801,0.5724806785583496,1.3444308042526245,1.2831003665924072,0.0,0.0
7,-8.765835762023926,-5.333543300628662,0.29117101430892944,-9.999641418457031,-4.877508163452148,0.57192462682724,-10.000515937805176,-5.1204657554626465,0.5724989771842957,1.3450156450271606,1.2841272354125977,0.0,0.0
8,-8.765835762023926,-5.333543300628662,0.28896376490592957,-9.999862670898438,-4.877552032470703,0.5718614459037781,-10.001110076904297,-5.119808197021484,0.5725222229957581,1.3456528186798096,1.2852978706359863,0.0,0.0
9,-8.765835762023926,-5.333543300628662,0.28651127219200134,-10.00007152557373,-4.877603530883789,0.5717971920967102,-10.001764297485352,-5.119061470031738,0.5725530982017517,1.346331000328064,1.2866008281707764,0.0,0.0
10,-8.765835762023926,-5.333543300628662,0.2838135361671448,-10.000275611877441,-4.877662181854248,0.5717331171035767,-10.002479553222656,-5.118229866027832,0.5725922584533691,1.347058653831482,1.2880375385284424,0.0,0.0
11,-8.765835762023926,-5.333543300628662,0.2808705270290375,-10.000466346740723,-4.877729415893555,0.5716705918312073,-10.003251075744629,-5.1173224449157715,0.5726413130760193,1.3478292226791382,1.2896039485931396,0.0,0.0
12,-8.765835762023926,-5.333543300628662,0.27768227458000183,-10.000640869140625,-4.877803325653076,0.5716103911399841,-10.004073143005371,-5.1163434982299805,0.5727024078369141,1.348642349243164,1.2912956476211548,0.0,0.0
13,-8.765835762023926,-5.333543300628662,0.27424877882003784,-10.000801086425781,-4.877882480621338,0.5715535283088684,-10.004941940307617,-5.115301609039307,0.5727767944335938,1.3495022058486938,1.293109655380249,0.0,0.0
14,-8.765835762023926,-5.333543300628662,0.2705700397491455,-10.000945091247559,-4.877969741821289,0.5715001821517944,-10.005850791931152,-5.114203929901123,0.5728662014007568,1.3504078388214111,1.295040488243103,0.0,0.0
15,-8.765835762023926,-5.333543300628662,0.26664602756500244,-10.001068115234375,-4.878058433532715,0.5714510679244995,-10.006793975830078,-5.11305570602417,0.572971761226654,1.3513591289520264,1.2970842123031616,0.0,0.0
16,-8.765835762023926,-5.333543300628662,0.26247677206993103,-10.001175880432129,-4.878151893615723,0.5714073181152344,-10.007766723632812,-5.1118669509887695,0.5730952024459839,1.3523626327514648,1.2992370128631592,0.0,0.0
17,-8.765835762023926,-5.333543300628662,0.2580622732639313,-10.001263618469238,-4.878243923187256,0.5713745951652527,-10.008761405944824,-5.110996723175049,0.5731990337371826,1.3534194231033325,1.301423192024231,0.0,0.0
18,-8.765835762023926,-5.333543300628662,0.2534025311470032,-10.00131893157959,-4.8783063888549805,0.5713616013526917,-10.009757995605469,-5.110976219177246,0.5732277631759644,1.3545321226119995,1.303520917892456,0.0,0.0
19,-8.765835762023926,-5.333543300628662,0.24849753081798553,-10.001401901245117,-4.8783721923828125,0.5713483095169067,-10.010734558105469,-5.11095666885376,0.5732629895210266,1.355742335319519,1.3056762218475342,0.0,0.0
20,-8.765835762023926,-5.333543300628662,0.24334728717803955,-10.00146198272705,-4.878422260284424,0.5713404417037964,-10.011739730834961,-5.110946178436279,0.5733041167259216,1.3570139408111572,1.307936429977417,0.0,0.0
21,-8.765835762023926,-5.333543300628662,0.23795178532600403,-10.001509666442871,-4.878459453582764,0.5713337063789368,-10.012741088867188,-5.110934257507324,0.5733520984649658,1.3583574295043945,1.3102751970291138,0.0,0.0
