frame,ball_x,ball_y,ball_z,end_target_x,end_target_y,end_target_z,dist_to_end_target,dist_to_current_ball,dist_to_intercept_0p2,ee_raw,et_ball_err
0,-6.874449729919434,-5.188879489898682,0.3309422433376312,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4489283263683319,3.1342742443084717,1.7866671085357666,0.8804777264595032,3.0527541637420654
1,-7.0094709396362305,-5.170618534088135,0.376434862613678,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4491594433784485,2.996969223022461,1.6634714603424072,0.8804949522018433,2.9174323081970215
2,-7.14420223236084,-5.1526665687561035,0.41784802079200745,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.44944077730178833,2.860603094100952,1.5359489917755127,0.8804951310157776,2.7830898761749268
3,-7.278548240661621,-5.134802341461182,0.45552828907966614,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.44970643520355225,2.7250614166259766,1.4105327129364014,0.8804952502250671,2.649719715118408
4,-7.412230491638184,-5.1170735359191895,0.4895172417163849,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4499240517616272,2.590548038482666,1.2886250019073486,0.8804953694343567,2.5175297260284424
5,-7.545315742492676,-5.099512577056885,0.5196103453636169,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4500911235809326,2.4569928646087646,1.1664484739303589,0.8804953098297119,2.3863627910614014
6,-7.6781511306762695,-5.081512928009033,0.5458318591117859,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4502123296260834,2.3240702152252197,1.0431373119354248,0.880495011806488,2.2557129859924316
7,-7.8101606369018555,-5.063620090484619,0.5684647560119629,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.45030102133750916,2.1923751831054688,0.9269727468490601,0.8804943561553955,2.1261706352233887
8,-7.94191837310791,-5.045742511749268,0.5874624252319336,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4503669738769531,2.061354160308838,0.8078883290290833,0.8804931044578552,1.9970811605453491
9,-8.073266983032227,-5.028101444244385,0.6024438738822937,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4504263401031494,1.9311518669128418,0.6922665238380432,0.8804917335510254,1.868493676185608
10,-8.203927993774414,-5.010410785675049,0.6135925650596619,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4504829943180084,1.8020528554916382,0.5868930220603943,0.8804899454116821,1.7405835390090942
11,-8.333929061889648,-4.9931111335754395,0.6212645769119263,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4505411982536316,1.6740007400512695,0.48966994881629944,0.8804879784584045,1.6133692264556885
12,-8.463644027709961,-4.976137638092041,0.6246808767318726,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4506113529205322,1.5466208457946777,0.4049322307109833,0.8804855942726135,1.486246109008789
13,-8.592790603637695,-4.959030628204346,0.6239085793495178,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4506911039352417,1.4202889204025269,0.35698893666267395,0.36589154601097107,1.3593418598175049
14,-8.721906661987305,-4.942102909088135,0.6195479035377502,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4507792592048645,1.2945870161056519,0.3511029779911041,0.36572855710983276,1.2322428226470947
15,-8.851003646850586,-4.925560474395752,0.6108591556549072,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.45087122917175293,1.1696525812149048,0.3942728340625763,0.36556074023246765,1.1047089099884033
16,-8.979585647583008,-4.9091267585754395,0.5987319350242615,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4509678781032562,1.0464004278182983,0.4736003875732422,0.365394651889801,0.9773659110069275
17,-9.107645034790039,-4.892549991607666,0.5822343230247498,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.45106667280197144,0.9254756569862366,0.5782509446144104,0.36522895097732544,0.8498662710189819
18,-9.235330581665039,-4.875839710235596,0.5621899962425232,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4511682987213135,0.8077887296676636,0.6938163638114929,0.36506280303001404,0.7223270535469055
19,-9.362401962280273,-4.8587422370910645,0.5386590361595154,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4512639343738556,0.6953957080841064,0.8161419630050659,0.36528488993644714,0.5950614809989929
20,-9.488828659057617,-4.841524600982666,0.5115342736244202,-9.899999618530273,-4.783852577209473,0.29477691650390625,0.4513584077358246,0.5912860631942749,0.9418243765830994,0.36572572588920593,0.4683709740638733
21,-9.614999771118164,-4.823885440826416,0.4802711308002472,-9.614999771118164,-4.823885440826416,0.4802711308002472,0.5007113218307495,0.5007113218307495,1.0782705545425415,0.2656816840171814,0.0
22,-9.740423202514648,-4.806400775909424,0.44546961784362793,-9.740423202514648,-4.806400775909424,0.44546961784362793,0.43269073963165283,0.43269073963165283,1.2085773944854736,0.3770082890987396,0.0
23,-9.86573600769043,-4.789221286773682,0.40671777725219727,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.39891737699508667,0.39891737699508667,1.3482205867767334,0.46102043986320496,0.0
24,-9.991098403930664,-4.771961688995361,0.36396169662475586,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.3990463316440582,0.40931379795074463,1.4940093755722046,0.4609299600124359,0.13357284665107727
25,-10.116250991821289,-4.755218982696533,0.3177739679813385,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.39917370676994324,0.4611855745315552,1.615705132484436,0.9131096601486206,0.2680017352104187
26,-10.234941482543945,-4.738745212554932,0.26200324296951294,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.39930224418640137,0.5444386005401611,1.7556931972503662,0.9124525785446167,0.3997534215450287
27,-10.353246688842773,-4.722677707672119,0.20286825299263,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.39943671226501465,0.6455245018005371,1.8982816934585571,0.9117626547813416,0.5325874090194702
28,-10.471223831176758,-4.706453800201416,0.14006483554840088,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.3995770514011383,0.7584292888641357,2.0469095706939697,0.9110493063926697,0.6667606234550476
29,-10.56247329711914,-4.694228649139404,0.10000140964984894,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.3997254967689514,0.8449533581733704,1.2575032711029053,0.9103042483329773,0.7671645283699036
30,-10.609243392944336,-4.687939643859863,0.10000140964984894,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.39988479018211365,0.8789823651313782,1.2562586069107056,0.9095161557197571,0.8106393218040466
31,-10.651653289794922,-4.682444095611572,0.10000141710042953,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.4000512361526489,0.910645067691803,1.2537916898727417,0.9086839556694031,0.8503776788711548
32,-10.689528465270996,-4.677379131317139,0.10000142455101013,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40023258328437805,0.9396204948425293,1.2472785711288452,0.9077920317649841,0.8861250281333923
33,-10.724064826965332,-4.672763347625732,0.10000142455101013,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40042462944984436,0.966498076915741,1.2477210760116577,0.9068547487258911,0.9188937544822693
34,-10.75487995147705,-4.6686272621154785,0.10000143200159073,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.4006307125091553,0.9907887578010559,1.2415050268173218,0.9058571457862854,0.9482588171958923
35,-10.782540321350098,-4.665409564971924,0.10000143200159073,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40085190534591675,1.0125768184661865,1.2353837490081787,0.9048035740852356,0.9746457934379578
36,-10.80695629119873,-4.662271022796631,0.10000143945217133,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40109318494796753,1.0320600271224976,1.2289072275161743,0.9036811590194702,0.9980415105819702
37,-10.82784652709961,-4.659809589385986,0.10000143945217133,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.4013534486293793,1.048667073249817,1.2146563529968262,0.90249103307724,1.0180760622024536
38,-10.845012664794922,-4.657636642456055,0.10000144690275192,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40163514018058777,1.0623356103897095,1.1970242261886597,0.9012343883514404,1.0345879793167114
39,-10.858078956604004,-4.655787944793701,0.10000144690275192,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.4019358456134796,1.0727027654647827,1.172629475593567,0.8999090194702148,1.0471981763839722
40,-10.867963790893555,-4.654460430145264,0.10000144690275192,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40225622057914734,1.0803532600402832,1.1639400720596313,0.8985036611557007,1.0567383766174316
41,-10.877679824829102,-4.65314245223999,0.10000144690275192,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40259847044944763,1.0878647565841675,1.1715527772903442,0.8970189094543457,1.0661250352859497
42,-10.887374877929688,-4.65182638168335,0.10000144690275192,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40295884013175964,1.0953466892242432,1.1790685653686523,0.8954522609710693,1.0754990577697754
43,-10.897087097167969,-4.650479316711426,0.10000144690275192,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40333670377731323,1.1028481721878052,1.1870450973510742,0.893804132938385,1.0849006175994873
44,-10.906837463378906,-4.649136543273926,0.10000146180391312,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40373706817626953,1.1103709936141968,1.1950477361679077,0.8920681476593018,1.094344973564148
45,-10.916614532470703,-4.647826194763184,0.10000146180391312,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.4041542708873749,1.1178914308547974,1.2028472423553467,0.8902513384819031,1.1038174629211426
46,-10.92642879486084,-4.646554946899414,0.10000146180391312,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.4045921266078949,1.1254042387008667,1.210702657699585,0.8883394598960876,1.1133273839950562
47,-10.936285018920898,-4.645288467407227,0.10000146180391312,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40504682064056396,1.1329357624053955,1.2187436819076538,0.8863459825515747,1.1228832006454468
48,-10.94614028930664,-4.643993377685547,0.10000146180391312,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40551939606666565,1.140457034111023,1.2265665531158447,0.8842628002166748,1.132448434829712
49,-10.956033706665039,-4.642734527587891,0.10000146925449371,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.4060078561306,1.1479705572128296,1.2344368696212769,0.8820931911468506,1.1420518159866333
50,-10.965888023376465,-4.641476631164551,0.10000146180391312,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.406512588262558,1.155429482460022,1.2417473793029785,0.8798484206199646,1.1516239643096924
51,-10.975733757019043,-4.64023494720459,0.10000146180391312,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40703755617141724,1.1628485918045044,1.3688818216323853,0.8775057792663574,1.1611919403076172
52,-10.986785888671875,-4.638576984405518,0.10000146180391312,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.4075785279273987,1.1713943481445312,1.265493631362915,0.8750813007354736,1.1719733476638794
53,-10.997396469116211,-4.637035846710205,0.10000146180391312,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40813496708869934,1.1795172691345215,1.273833155632019,0.8725830316543579,1.1823242902755737
54,-11.007984161376953,-4.63549280166626,0.10000146180391312,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.40870901942253113,1.1875916719436646,1.2818992137908936,0.8699761629104614,1.1926602125167847
55,-11.018577575683594,-4.6339240074157715,0.10000146925449371,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.4093046486377716,1.1956433057785034,1.2902697324752808,0.8672749996185303,1.203011155128479
56,-11.02919864654541,-4.632333278656006,0.10000146925449371,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.4099271595478058,1.2036714553833008,1.2987921237945557,0.8643996119499207,1.213397741317749
57,-11.03979206085205,-4.630778789520264,0.10000146925449371,-9.86573600769043,-4.789221286773682,0.40671777725219727,0.41057321429252625,1.2116222381591797,1.3065382242202759,0.861382782459259,1.2237591743469238
