step,mode,term_reason,term_reason_name,episode_length,ball_contact,ball_blocked,goal_conceded,contact_body_name,contact_body_idx,ball_speed,ball_pos_x,ball_pos_y,ball_pos_z,ball_lin_vel_x,ball_lin_vel_y,ball_lin_vel_z,base_pos_x,base_pos_y,base_pos_z,base_rpy_x,base_rpy_y,base_rpy_z,dof_pos_0_x,dof_pos_0_y,dof_pos_0_z
0,random_small,0,none,2,0,0,0,,-1,1.7842092514038086,2.4181723594665527,0.005507764406502247,0.47469761967658997,-1.7326743602752686,0.05037938058376312,-0.4227343797683716,0.001937338849529624,0.00019495876040309668,0.42241743206977844,0.0026232502423226833,-0.007160821929574013,-0.0012954127741977572,0.016158949583768845,-0.0020183164160698652,0.0008209352963604033
1,random_small,0,none,3,0,0,0,,-1,1.84022855758667,2.3835232257843018,0.006515225395560265,0.46379172801971436,-1.7323276996612549,0.05036930739879608,-0.6188252568244934,0.002435473259538412,0.00028823770117014647,0.43491077423095703,0.0010375684360042214,-0.00751875713467598,-0.002908506663516164,0.018377099186182022,-0.0024620150215923786,0.005711017642170191
2,random_small,0,none,4,0,0,0,,-1,1.914763331413269,2.3488810062408447,0.007522485218942165,0.44896453619003296,-1.7319810390472412,0.05035923421382904,-0.8148768544197083,0.0025302288122475147,0.0003728226583916694,0.44340449571609497,-0.0015544384950771928,-0.006200768053531647,-0.002624284476041794,0.017252830788493156,-0.0013864848297089338,0.012182282283902168
3,random_small,0,none,5,0,0,0,,-1,2.005739450454712,2.3142457008361816,0.00852954387664795,0.43021678924560547,-1.7316346168518066,0.050349161028862,-1.0108892917633057,0.0020476519130170345,0.00038097219658084214,0.4479609429836273,-0.003937505651265383,-0.0028979508206248283,-0.0018884351011365652,0.008188800886273384,0.00042055631638504565,0.009799471125006676
4,random_small,0,none,6,0,0,0,,-1,2.1110212802886963,2.2796173095703125,0.009536400437355042,0.40754929184913635,-1.7312884330749512,0.05033908784389496,-1.206862449645996,0.0015709622530266643,0.00044760952005162835,0.4485589563846588,-0.005564109887927771,7.668045145692304e-05,-0.0032786941155791283,0.0030869641341269016,0.0006117801531217992,0.013308929279446602
5,random_small,0,none,7,0,0,0,,-1,2.228571653366089,2.2449960708618164,0.010543055832386017,0.3809627890586853,-1.7309422492980957,0.05032901465892792,-1.4027963876724243,0.0012686512200161815,0.0005114589584991336,0.4451953172683716,-0.006637082435190678,0.002058363752439618,-0.0005380678339861333,0.002133199479430914,0.00018085936608258635,0.011681830510497093
6,random_small,0,none,8,0,0,0,,-1,2.3565456867218018,2.210381507873535,0.011549510061740875,0.3504581153392792,-1.7305960655212402,0.050318941473960876,-1.5986911058425903,0.0005074194632470608,0.00045078739640302956,0.4379173517227173,-0.007889989763498306,0.005487140268087387,0.002381202531978488,-0.006395968608558178,0.0009515414712950587,0.00881221704185009
7,random_small,0,none,9,0,0,0,,-1,2.4933297634124756,2.175773859024048,0.012555763125419617,0.31603604555130005,-1.7302498817443848,0.05030888319015503,-1.7945467233657837,0.00015334528870880604,0.0003435621620155871,0.42668604850769043,-0.009581882506608963,0.006872314494103193,0.0019027908565476537,-0.007136079482734203,0.002741218311712146,0.004992963746190071
8,random_small,0,none,10,0,0,0,,-1,2.637544870376587,2.1411731243133545,0.013561815023422241,0.2776973247528076,-1.7299036979675293,0.05029882490634918,-1.9903632402420044,-3.774440847337246e-05,0.0002745226083789021,0.4115140438079834,-0.009374326094985008,0.007338555064052343,0.003526627318933606,-0.004844791255891323,0.001978484680876136,-0.005250190384685993
9,random_small,0,none,11,0,0,0,,-1,2.788029670715332,2.106579542160034,0.014567665755748749,0.23544278740882874,-1.7295575141906738,0.050288766622543335,-2.186140775680542,0.0003088845405727625,0.0008529594633728266,0.40976619720458984,0.00012989476090297103,0.004389625042676926,0.0047212508507072926,0.0010214507346972823,-0.012900966219604015,-0.0037442755419760942
