joint,action,action_scale,target_delta,actual_delta,torque,step
left_shoulder_pitch_joint,0.0,0.25,0.0,0.0002817399799823761,-0.002175494795665145,0
left_shoulder_roll_joint,0.0,0.25,0.0,-2.0842915546381846e-05,0.002083910396322608,0
left_shoulder_yaw_joint,0.0,0.25,0.0,1.3409691746346653e-05,0.00031724426662549376,0
left_elbow_joint,0.0,0.25,0.0,0.00530894473195076,-0.010798080824315548,0
right_shoulder_pitch_joint,0.5,0.25,0.125,0.0002691115951165557,-0.002342117251828313,0
right_shoulder_roll_joint,0.5,0.25,0.125,-0.00011270810500718653,0.002202929463237524,0
right_shoulder_yaw_joint,0.5,0.25,0.125,0.0001197890960611403,-0.00015425057790707797,0
right_elbow_joint,0.5,0.25,0.125,0.005378644913434982,-0.008396337740123272,0
