reset_id,frame,root_z,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_lin_vel_norm,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,root_ang_vel_norm,left_foot_z,right_foot_z,left_foot_vz,right_foot_vz,max_dof_vel,max_torque,max_contact_force,max_contact_body,foot_contact_l,foot_contact_r,projected_g_z,before_sim_vz,before_sim_lin_vel_norm,before_sim_ang_vel_norm,before_sim_dof_vel_max
0,0,0.3741503655910492,-0.29404008388519287,-0.31633731722831726,0.3737514913082123,0.571155846118927,0.21898600459098816,0.33198806643486023,-0.17010021209716797,0.4325563907623291,-0.004396157339215279,-0.004416691139340401,0.33202648162841797,0.26778554916381836,7.516936779022217,0.0,1054.475341796875,6,1054.475341796875,974.091796875,-0.9999997615814209,-0.217558354139328,0.3993685841560364,0.06742511689662933,0.0
0,1,0.3779509365558624,-0.17197099328041077,-0.31605929136276245,0.918422281742096,0.9863908886909485,0.25841259956359863,-0.24697649478912354,0.4436189830303192,0.5697124600410461,-0.0003459770232439041,-0.0005227848887443542,0.9479519724845886,0.9252761006355286,6.907353401184082,0.0,969.27490234375,12,958.095947265625,969.27490234375,-0.9999997615814209,,,,
1,0,0.37411513924598694,-0.3361794054508209,-0.3046875596046448,0.3259558379650116,0.5586575865745544,0.028052203357219696,0.1778949350118637,-0.40845221281051636,0.44639304280281067,-0.004442373290657997,-0.004444494843482971,0.25453877449035645,0.2279767394065857,7.857972145080566,0.0,1100.9967041015625,6,1100.9967041015625,1001.4598999023438,-0.9999997615814209,-0.2897619605064392,0.4445183575153351,0.35239413380622864,0.0
1,1,0.37783387303352356,-0.17616520822048187,-0.30641669034957886,0.9073430895805359,0.9737539887428284,0.29042744636535645,-0.5680304169654846,0.29614436626434326,0.7033549547195435,-0.0004777573049068451,-0.000616392120718956,0.946687638759613,0.923099160194397,7.329655170440674,0.0,1037.020751953125,6,1037.020751953125,1015.080810546875,-0.9999997615814209,,,,
2,0,0.37414485216140747,0.23084880411624908,0.20480579137802124,0.4826311767101288,0.5728607177734375,0.2911956012248993,-0.21407896280288696,0.0774448961019516,0.36962467432022095,-0.004378005862236023,-0.004407312721014023,0.4617033302783966,0.3909479081630707,4.978420734405518,0.0,953.0858154296875,6,953.0858154296875,882.339599609375,-0.9999997615814209,-0.04667180776596069,0.30507978796958923,0.2529752850532532,0.0
2,1,0.37815630435943604,0.3034060299396515,0.22137658298015594,0.9444538950920105,1.0163935422897339,0.12239100784063339,-0.5858837962150574,0.34680163860321045,0.6917446851730347,-0.0001552179455757141,-0.0003473013639450073,0.9536957144737244,0.940176784992218,5.977532386779785,0.0,847.8993530273438,12,800.1702270507812,847.8993530273438,-0.9999997615814209,,,,
3,0,0.37408575415611267,0.09398309141397476,0.15321673452854156,0.393245130777359,0.43237707018852234,0.409617155790329,0.07932434231042862,-0.5502752065658569,0.6905659437179565,-0.0044432468712329865,-0.004493748769164085,0.36959871649742126,0.2761888802051544,5.261093616485596,0.0,1049.84912109375,6,1049.84912109375,992.8040771484375,-0.9999997615814209,-0.20253685116767883,0.28357169032096863,0.27882620692253113,0.0
3,1,0.377945214509964,0.20386335253715515,0.1698388010263443,0.9306804537773132,0.967766284942627,0.18859714269638062,-0.45220136642456055,-0.1565692126750946,0.5143625736236572,-0.00034209154546260834,-0.000589350238442421,0.9485930800437927,0.9286613464355469,6.752590179443359,0.0,978.6314697265625,12,919.2283935546875,978.6314697265625,-0.9999997615814209,,,,
4,0,0.3742820918560028,-0.036043670028448105,-0.05371031165122986,0.6205839514732361,0.6239458322525024,0.007937041111290455,-0.2695969045162201,0.15976229310035706,0.31347963213920593,-0.004236437380313873,-0.004270872101187706,0.598629355430603,0.5959847569465637,2.7803571224212646,0.0,815.3494873046875,6,815.3494873046875,768.7950439453125,-0.9999997615814209,0.17278388142585754,0.18223948776721954,0.2990856468677521,0.0
4,1,0.37853240966796875,-0.018907669931650162,-0.057158105075359344,0.9644688367843628,0.9663460850715637,0.056884851306676865,-0.3887121379375458,0.2207711637020111,0.4506361186504364,0.00014770589768886566,4.032067954540253e-05,0.9640339612960815,0.9548515677452087,4.954120635986328,0.0,633.0316162109375,6,633.0316162109375,625.1995849609375,-0.9999997615814209,,,,
5,0,0.3740995228290558,-0.008065485395491123,0.010079205967485905,0.3806721568107605,0.38089099526405334,0.5313317775726318,0.2977848947048187,-0.28175124526023865,0.6710984110832214,-0.004430841654539108,-0.004490543156862259,0.36918941140174866,0.2457970529794693,5.811931610107422,0.0,1049.033203125,6,1049.033203125,1000.1883544921875,-0.9999997615814209,-0.21740934252738953,0.2230445295572281,0.3252400755882263,0.0
5,1,0.3779377043247223,0.10506456345319748,0.026472195982933044,0.9282163977622986,0.934518575668335,0.2258741557598114,-0.2506645917892456,0.2287459671497345,0.40764763951301575,-0.0003401767462491989,-0.0006159339100122452,0.9480164647102356,0.9261041879653931,6.814373016357422,0.0,1003.2677001953125,12,928.3072509765625,1003.2677001953125,-0.9999997615814209,,,,
6,0,0.3742048442363739,-0.24064473807811737,-0.05041484907269478,0.520022451877594,0.5752173066139221,0.3699115216732025,0.14404389262199402,-0.13574504852294922,0.4195353388786316,-0.00432727113366127,-0.004364825785160065,0.5285643339157104,0.4436705708503723,3.3429055213928223,0.0,954.0452880859375,6,954.0452880859375,893.0965576171875,-0.9999997615814209,-0.010900706052780151,0.19692258536815643,0.11072095483541489,0.0
6,1,0.37827691435813904,-0.19752313196659088,-0.04507040977478027,0.9508079290390015,0.9721535444259644,0.11457204818725586,-0.09113759547472,0.1505872905254364,0.2100222408771515,-5.394592881202698e-05,-0.0002452731132507324,0.9568783640861511,0.9430598616600037,5.7954583168029785,0.0,797.9376831054688,12,744.1987915039062,797.9376831054688,-0.9999997615814209,,,,
7,0,0.37420496344566345,-0.22095543146133423,0.25683191418647766,0.5177823305130005,0.618774950504303,0.21838566660881042,0.3955933451652527,-0.3681600093841553,0.5828620791435242,-0.004338154569268227,-0.004356862977147102,0.5075737833976746,0.45153865218162537,5.015388488769531,0.0,962.6966552734375,6,962.6966552734375,874.7819213867188,-0.9999997615814209,-0.011114448308944702,0.30867430567741394,0.3590543270111084,0.0
7,1,0.37827926874160767,-0.17275497317314148,0.27017030119895935,0.9482966661453247,1.0010508298873901,0.12135989218950272,0.13782773911952972,-0.12054523825645447,0.21967217326164246,-6.764940917491913e-05,-0.0002302061766386032,0.9551385641098022,0.9411112666130066,5.784538745880127,0.0,789.8692626953125,12,755.287353515625,789.8692626953125,-0.9999997615814209,,,,
8,0,0.3740963339805603,0.039622996002435684,0.2695382833480835,0.3927171528339386,0.4779619574546814,0.24464364349842072,-0.16260561347007751,-0.4829246401786804,0.5652498006820679,-0.004433728754520416,-0.0044692810624837875,0.3462330996990204,0.27972689270973206,5.465441703796387,0.0,1026.125244140625,6,1026.125244140625,955.7569580078125,-0.9999997615814209,-0.1850554645061493,0.3352629840373993,0.357115775346756,0.0
8,1,0.3779480755329132,0.15571285784244537,0.2840518355369568,0.9285888075828552,0.9834678769111633,0.18105065822601318,-0.7289823293685913,-0.13924342393875122,0.7639262080192566,-0.00035127438604831696,-0.000557873398065567,0.9480471611022949,0.928503692150116,6.648045063018799,0.0,963.6134033203125,12,931.6217651367188,963.6134033203125,-0.9999997615814209,,,,
9,0,0.374180406332016,-0.29597681760787964,0.20006369054317474,0.5058479309082031,0.6192817687988281,0.4696178436279297,-0.052428726106882095,-0.29012060165405273,0.5544904470443726,-0.004342818632721901,-0.004394877701997757,0.5217023491859436,0.40877214074134827,5.691061496734619,0.0,969.2925415039062,6,969.2925415039062,905.7425537109375,-0.9999997615814209,-0.03468167781829834,0.3192178010940552,0.22070427238941193,0.0
9,1,0.37823373079299927,-0.24660877883434296,0.2220957726240158,0.9466446042060852,1.0031342506408691,0.1403609812259674,-0.31977859139442444,0.061394065618515015,0.3545825481414795,-6.335042417049408e-05,-0.00030864961445331573,0.954639732837677,0.9394431710243225,5.9162068367004395,0.0,829.2605590820312,12,747.90283203125,829.2605590820312,-0.9999997615814209,,,,
10,0,0.3741638958454132,-0.08133857697248459,-0.06257348507642746,0.4665840268135071,0.4777364134788513,0.3560601770877838,0.08196775615215302,-0.33119210600852966,0.49313870072364807,-0.004373909905552864,-0.0044049229472875595,0.4609377086162567,0.3753097355365753,4.461004257202148,0.0,992.0454711914062,6,992.0454711914062,922.2637939453125,-0.9999997615814209,-0.08701120316982269,0.1078527644276619,0.09201637655496597,0.0
10,1,0.37814652919769287,-0.011201213113963604,-0.057939693331718445,0.9440312385559082,0.9458739161491394,0.142607644200325,-0.2742627263069153,-0.0016475447919219732,0.3091273009777069,-0.00017868727445602417,-0.0003732312470674515,0.953574538230896,0.9379910826683044,6.2160539627075195,0.0,872.1715698242188,12,824.5390625,872.1715698242188,-0.9999997615814209,,,,
11,0,0.374206006526947,-0.37389057874679565,-0.3336411416530609,0.45392417907714844,0.6761344075202942,0.2111295759677887,0.31126654148101807,0.09697391092777252,0.3884153664112091,-0.004337357357144356,-0.004352249205112457,0.4350992739200592,0.3771882951259613,5.891778945922852,0.0,1003.97509765625,6,1003.97509765625,916.714599609375,-0.9999997615814209,-0.10116948187351227,0.41811826825141907,0.268555223941803,0.0
11,1,0.37814000248908997,-0.29927298426628113,-0.337196409702301,0.9328094124794006,1.0360498428344727,0.16769178211688995,-0.05972129479050636,0.48853549361228943,0.5199558734893799,-0.00017285533249378204,-0.0003198143094778061,0.9530243873596191,0.9355630278587341,6.338025093078613,0.0,860.8209838867188,12,844.9412231445312,860.8209838867188,-0.9999997615814209,,,,
12,0,0.37409698963165283,0.052121806889772415,0.2420375794172287,0.39986011385917664,0.4703051745891571,0.4860093891620636,-0.12982146441936493,-0.34745025634765625,0.6113758087158203,-0.004418877884745598,-0.0044828150421381,0.3832678496837616,0.2655600607395172,6.413198471069336,0.0,1012.4808349609375,6,1012.4808349609375,967.6804809570312,-0.9999997615814209,-0.17683061957359314,0.30340203642845154,0.28349098563194275,0.0
12,1,0.37796735763549805,0.16119898855686188,0.2678127884864807,0.9301174879074097,0.9812377095222473,0.1914421170949936,-0.6644576787948608,0.07658424228429794,0.6957148909568787,-0.0002952367067337036,-0.000580664724111557,0.9470986723899841,0.9289864301681519,6.6740875244140625,0.0,976.930419921875,12,898.2247314453125,976.930419921875,-0.9999997615814209,,,,
13,0,0.3741613030433655,-0.27846023440361023,-0.22170811891555786,0.4223155975341797,0.5523087978363037,0.08344180881977081,0.008081437088549137,-0.26036375761032104,0.27352720499038696,-0.004390556365251541,-0.0043912120163440704,0.37515100836753845,0.3422612249851227,5.736193656921387,0.0,1025.8385009765625,6,1025.8385009765625,929.0903930664062,-0.9999997615814209,-0.1452793926000595,0.30961498618125916,0.32613494992256165,0.0
13,1,0.3780519664287567,-0.18784378468990326,-0.22302983701229095,0.9315682053565979,0.9761387705802917,0.1813070923089981,-0.43957164883613586,0.11597108840942383,0.4894331395626068,-0.0002821478992700577,-0.0004070345312356949,0.95030277967453,0.931057333946228,6.60805082321167,0.0,904.6815185546875,6,904.6815185546875,900.1415405273438,-0.9999997615814209,,,,
14,0,0.3741565942764282,0.1665935069322586,0.22868727147579193,0.4945794641971588,0.5697895288467407,0.22738412022590637,-0.37183672189712524,-0.40773075819015503,0.5968337059020996,-0.004367850720882416,-0.004390683025121689,0.46912404894828796,0.4116276204586029,4.5126729011535645,0.0,938.3045043945312,6,938.3045043945312,866.6868286132812,-0.9999997615814209,-0.02520805597305298,0.2787880003452301,0.34499919414520264,0.0
14,1,0.3781890273094177,0.23490262031555176,0.24252937734127045,0.9469845294952393,1.0053752660751343,0.10796468704938889,-0.7259520888328552,-0.17890244722366333,0.7554263472557068,-0.00013391487300395966,-0.00030853040516376495,0.9542058706283569,0.941450834274292,5.879237174987793,0.0,826.780517578125,12,789.4131469726562,826.780517578125,-0.9999997615814209,,,,
15,0,0.37420761585235596,0.027043884620070457,-0.2662302851676941,0.5054325461387634,0.5719020962715149,0.36546021699905396,-0.23992380499839783,-0.2982681095600128,0.5292338132858276,-0.004322255030274391,-0.004346728324890137,0.5039733648300171,0.41671955585479736,4.683966159820557,0.0,916.9345092773438,6,916.9345092773438,859.5765380859375,-0.9999997615814209,-0.004649132490158081,0.23963336646556854,0.25899189710617065,0.0
15,1,0.3782494068145752,0.08391865342855453,-0.26359209418296814,0.9478932619094849,0.9874334335327148,0.12093893438577652,-0.5404855608940125,0.013293351978063583,0.5540104508399963,-7.048062980175018e-05,-0.0002475958317518234,0.9559899568557739,0.9421185851097107,5.816226959228516,0.0,816.6223754882812,12,766.350341796875,816.6223754882812,-0.9999997615814209,,,,
16,0,0.37409043312072754,-0.24997864663600922,0.19571556150913239,0.3831026554107666,0.49755558371543884,0.5126419067382812,0.08604203164577484,-0.21977265179157257,0.5643624663352966,-0.0044348835945129395,-0.00449817068874836,0.3729531764984131,0.24894168972969055,6.347638130187988,0.0,1061.2738037109375,6,1061.2738037109375,1004.1455078125,-0.9999997615814209,-0.2199198305606842,0.3416007459163666,0.23726770281791687,0.0
16,1,0.3779265880584717,-0.14603497087955475,0.21822555363178253,0.9272333979606628,0.9636961817741394,0.21144220232963562,-0.42495614290237427,0.23643162846565247,0.5302786827087402,-0.00033564865589141846,-0.0006251707673072815,0.9455820322036743,0.9248454570770264,6.835977077484131,0.0,999.0458374023438,12,920.3486328125,999.0458374023438,-0.9999997615814209,,,,
17,0,0.37424737215042114,0.265578955411911,0.09731841087341309,0.6174746751785278,0.679174542427063,0.004972660914063454,-0.28616827726364136,-0.33152174949645996,0.43797680735588074,-0.004259731620550156,-0.004298549145460129,0.5874881148338318,0.5898486971855164,3.726094961166382,0.0,821.6067504882812,6,821.6067504882812,784.67138671875,-0.9999997615814209,0.16320252418518066,0.2939828634262085,0.281429260969162,0.0
17,1,0.3784967362880707,0.2891053557395935,0.10398771613836288,0.9628774523735046,1.010706901550293,0.048814691603183746,-0.4344043433666229,-0.28192129731178284,0.5201630592346191,0.0001296158879995346,8.58306884765625e-06,0.9648169279098511,0.9550864100456238,4.962971210479736,0.0,631.6478881835938,12,631.6421508789062,631.6478881835938,-0.9999997615814209,,,,
18,0,0.3742196559906006,-0.027236394584178925,-0.32245150208473206,0.49706509709358215,0.5931192636489868,0.20347259938716888,0.08007891476154327,0.07481730729341507,0.23110897839069366,-0.00432216189801693,-0.004330184310674667,0.4801746904850006,0.4258982837200165,5.115478515625,0.0,947.5134887695312,6,947.5134887695312,863.7129516601562,-0.9999997615814209,-0.023672252893447876,0.27800431847572327,0.24498340487480164,0.0
18,1,0.3782418370246887,0.030400656163692474,-0.32592514157295227,0.945279598236084,1.000352382659912,0.12515945732593536,-0.21952977776527405,0.3733783960342407,0.4508543312549591,-9.807758033275604e-05,-0.00022941641509532928,0.9553809762001038,0.9414768815040588,5.995750427246094,0.0,810.8976440429688,12,791.7680053710938,810.8976440429688,-0.9999997615814209,,,,
19,0,0.3741869032382965,-0.36763671040534973,-0.3167673349380493,0.43476244807243347,0.6515494585037231,0.06624583154916763,0.107682965695858,-0.2949966490268707,0.3209472596645355,-0.0043649692088365555,-0.004360668361186981,0.39108899235725403,0.3628805875778198,5.795916557312012,0.0,1016.092041015625,6,1016.092041015625,919.0372314453125,-0.9999997615814209,-0.1258620321750641,0.40761494636535645,0.29633888602256775,0.0
19,1,0.3780888319015503,-0.28201884031295776,-0.319987416267395,0.9297053217887878,1.02287757396698,0.18195641040802002,-0.3148851692676544,0.08504414558410645,0.37348803877830505,-0.00023838691413402557,-0.0003509204834699631,0.9512901902198792,0.9326873421669006,6.508703231811523,0.0,883.9188842773438,6,883.9188842773438,875.1371459960938,-0.9999997615814209,,,,
20,0,0.37420186400413513,-0.29021155834198,-0.28459808230400085,0.47249218821525574,0.6232717633247375,0.2952059209346771,-0.03081931360065937,-0.5239035487174988,0.6021389365196228,-0.004338078200817108,-0.004354560747742653,0.46129369735717773,0.38828152418136597,4.871576309204102,0.0,968.5328369140625,6,968.5328369140625,900.8953247070312,-0.9999997615814209,-0.06677074730396271,0.3470817506313324,0.3241725564002991,0.0
20,1,0.3781786561012268,-0.21984457969665527,-0.2830045819282532,0.9387944936752319,1.0048673152923584,0.15926183760166168,-0.38612857460975647,-0.15910732746124268,0.4469617009162903,-0.00013613328337669373,-0.0003025885671377182,0.9540332555770874,0.9388986825942993,6.12465238571167,0.0,848.7138061523438,12,814.3873901367188,848.7138061523438,-0.9999997615814209,,,,
