env_id,episode_id,category,root_z_init,root_z_max,root_z_delta,root_vz_max,upright_min,both_feet_airborne_duration,both_feet_airborne_steps,contact_recovered_after_airborne,nearest_body_name,nearest_body_min_distance,ball_speed_before,ball_speed_after,ball_speed_reduction,root_pitch_max,root_pitch_min,fall_or_reset,num_steps,block_time,ball_z_at_block,root_z_at_block,foot_contact_left_at_block,foot_contact_right_at_block,recommendation
2,0,jump_like,0.7989898920059204,1.0415886640548706,0.2425987720489502,2.3671247959136963,0.5452569127082825,0.41999999061226845,28,True,left_rubber_hand,0.3199090361595154,7.885067462921143,0.30048811435699463,7.584579348564148,0.11497022598487909,-0.8652619652024292,False,67,0.5999999865889549,1.649278998374939,0.9176666736602783,False,False,use_as_jump_prior
2,1,jump_like,0.800000011920929,0.8734980225563049,0.07349801063537598,1.9732540845870972,0.5544369220733643,0.25999999418854713,21,True,left_rubber_hand,0.13338057696819305,9.536205291748047,0.16223901510238647,9.37396627664566,0.07838090898338784,-0.7667272491187506,False,93,0.5399999879300594,1.3746198415756226,0.7610234618186951,False,False,use_as_jump_prior
2,2,jump_like,0.800000011920929,1.0882656574249268,0.2882656455039978,2.533857822418213,0.5576989650726318,0.4399999901652336,29,True,left_rubber_hand,0.121548131108284,6.694051742553711,0.09423980861902237,6.599811933934689,0.14842243397546775,-0.8186122643719769,False,84,0.7199999839067459,1.6272858381271362,1.0808618068695068,False,False,use_as_jump_prior
2,3,jump_like,0.800000011920929,1.0319843292236328,0.23198431730270386,2.1447622776031494,0.547691822052002,0.3799999915063381,24,True,left_rubber_hand,0.3789670765399933,5.787093639373779,6.598477840423584,-0.8113842010498047,0.10806152965311952,-0.8475440770073974,False,56,0.8999999798834324,1.5413230657577515,0.812393069267273,True,True,use_as_jump_prior
2,4,jump_like,0.800000011920929,1.0259050130844116,0.22590500116348267,2.2750821113586426,0.5799871683120728,0.41999999061226845,29,True,left_rubber_hand,0.10145965218544006,6.325356960296631,0.13158538937568665,6.193771570920944,0.09294146637200316,-0.7323118000220332,False,100,0.7399999834597111,1.604109764099121,1.0250754356384277,False,False,use_as_jump_prior
2,5,jump_like,0.800000011920929,0.966379702091217,0.16637969017028809,2.0674209594726562,0.5498580932617188,0.35999999195337296,26,True,left_rubber_hand,0.15980291366577148,7.2640156745910645,0.24900135397911072,7.015014320611954,0.10991732734677644,-0.8715324262766723,False,72,0.7999999821186066,1.247267723083496,0.9621089696884155,False,False,use_as_jump_prior
2,6,other,0.800000011920929,0.800000011920929,0.0,0.9822127819061279,0.9999544620513916,0.07999999821186066,4,True,left_rubber_hand,4.028804302215576,7.2340874671936035,6.618753433227539,0.6153340339660645,0.003598561360878118,0.0,False,5,0.07999999821186066,1.236863613128662,0.7508601546287537,True,True,discard
2,7,jump_like,0.800000011920929,1.0259418487548828,0.22594183683395386,2.4329240322113037,0.9817925095558167,0.3999999910593033,28,True,left_rubber_hand,0.1348804086446762,9.377331733703613,2.9244027137756348,6.4529290199279785,0.11834103348839436,-0.1486475359340207,False,54,0.6199999861419201,1.599218487739563,0.8603137731552124,False,False,use_as_jump_prior
2,8,jump_like,0.800000011920929,1.0874543190002441,0.2874543070793152,2.5814855098724365,0.5648626089096069,0.4599999897181988,31,True,left_rubber_hand,0.2704295516014099,8.248405456542969,2.706294059753418,5.542111396789551,0.09482263295785884,-0.8463879119138751,False,60,0.6199999861419201,1.7251808643341064,1.043877363204956,False,False,use_as_jump_prior
2,9,bad_backlean,0.800000011920929,0.9767065644264221,0.17670655250549316,1.97736656665802,0.48820918798446655,0.3399999924004078,25,True,left_rubber_hand,0.278828889131546,6.616400718688965,6.192011833190918,0.4243888854980469,0.0694168045867948,-0.8329688226973639,True,55,0.8799999803304672,1.5590795278549194,0.8703972697257996,False,False,discard
